p	q	r	Mag Yaw
0.00	-0.00	-0.00	48.46
0.00	-0.00	-0.00	48.48
0.00	-0.00	0.00	48.50
0.00	-0.00	0.00	48.50
0.00	-0.00	0.00	48.51
0.00	-0.00	0.00	48.51
0.00	-0.00	0.00	48.52
-0.00	-0.00	0.00	48.52
-0.00	-0.00	0.00	48.52
-0.00	-0.00	0.00	48.52
-0.00	-0.00	-0.00	48.52
-0.00	-0.00	-0.00	48.52
-0.00	-0.00	0.00	48.52
-0.00	-0.00	0.00	48.52
-0.00	-0.00	0.00	48.52
-0.00	-0.00	0.00	48.52
-0.00	-0.00	0.00	48.52
-0.00	-0.00	0.00	48.52
-0.00	-0.00	0.00	48.52
-0.00	-0.00	0.00	48.52
-0.00	-0.00	0.00	48.52
0.00	-0.00	0.00	48.52
0.00	-0.00	0.00	48.52
0.00	-0.00	0.00	48.52
0.00	0.00	0.00	48.52
0.00	0.00	0.00	48.52
0.00	0.00	0.00	48.52
0.00	0.00	0.00	48.52
0.00	0.00	0.00	46.70
-0.00	0.00	0.00	45.57
-0.00	0.00	0.00	44.85
-0.00	0.00	0.00	44.39
-0.00	0.00	0.00	44.09
-0.00	0.00	0.00	43.90
-0.00	0.00	0.00	43.78
-0.00	0.00	0.00	43.70
-0.00	0.00	0.00	43.65
-0.00	0.00	0.00	43.61
-0.00	0.00	0.00	43.59
-0.00	0.00	0.00	43.58
-0.00	0.00	0.00	43.57
-0.00	0.00	0.00	43.56
0.00	0.00	0.00	43.56
0.00	0.00	0.00	43.55
-0.00	0.00	0.00	43.55
-0.00	0.00	0.00	43.55
-0.00	0.00	0.00	43.55
-0.00	-0.00	0.00	43.55
-0.00	-0.00	0.00	43.55
-0.00	-0.00	0.00	43.55
-0.00	0.00	0.00	43.55
-0.00	0.00	0.00	43.55
-0.00	0.00	0.00	43.55
-0.00	0.00	0.00	43.55
-0.00	0.00	0.00	43.55
-0.00	-0.00	-0.00	43.55
-0.00	-0.00	-0.00	43.55
-0.00	-0.00	-0.00	43.55
-0.00	-0.00	-0.00	43.55
-0.00	-0.00	-0.00	43.55
-0.00	-0.00	-0.00	43.55
-0.00	-0.00	-0.00	43.55
-0.00	-0.00	-0.00	43.55
-0.00	0.00	-0.00	43.55
-0.00	0.00	-0.00	43.55
-0.00	0.00	-0.00	43.55
-0.00	0.00	-0.00	46.08
-0.00	0.00	0.00	47.87
-0.00	0.00	0.00	49.11
-0.00	0.00	0.00	49.95
-0.00	0.00	0.00	50.51
-0.00	0.00	0.00	50.87
-0.00	0.00	-0.00	51.12
-0.00	0.00	-0.00	51.27
-0.00	0.00	-0.00	51.38
-0.00	0.00	-0.00	51.44
-0.00	0.00	-0.00	51.49
-0.00	0.00	0.00	51.52
-0.00	0.00	0.00	51.53
-0.00	0.00	0.00	51.55
-0.00	0.00	0.00	51.55
-0.00	0.00	0.00	51.56
-0.00	0.00	-0.00	51.56
-0.00	0.00	-0.00	51.57
0.00	0.00	-0.00	51.57
0.00	0.00	-0.00	51.57
0.00	0.00	-0.00	51.57
0.00	0.00	-0.00	51.57
0.00	0.00	-0.00	51.57
-0.00	0.00	-0.00	51.57
-0.00	0.00	-0.00	51.57
-0.00	0.00	-0.00	51.57
-0.00	0.00	0.00	51.57
-0.00	-0.00	0.00	51.57
-0.00	-0.00	0.00	51.57
-0.00	-0.00	0.00	51.57
-0.00	-0.00	0.00	51.57
-0.00	-0.00	0.00	51.57
-0.00	-0.00	0.00	50.35
0.00	-0.00	0.00	49.63
0.00	-0.00	-0.00	49.18
0.00	-0.00	-0.00	48.90
0.00	-0.00	-0.00	48.72
0.00	-0.00	-0.00	48.60
0.00	-0.00	-0.00	48.53
0.00	-0.00	-0.00	48.48
0.00	-0.00	-0.00	48.45
0.00	-0.00	-0.00	48.43
-0.00	-0.00	-0.00	48.42
-0.00	-0.00	-0.00	48.41
-0.00	-0.00	-0.00	48.40
-0.00	-0.00	-0.00	48.40
-0.00	-0.00	0.00	48.40
-0.00	-0.00	0.00	48.39
-0.00	-0.00	0.00	48.39
-0.00	-0.00	0.00	48.39
-0.00	-0.00	0.00	48.39
0.00	-0.00	0.00	48.39
0.00	-0.00	0.00	48.39
-0.00	-0.00	-0.00	48.39
-0.00	-0.00	-0.00	48.39
-0.00	0.00	-0.00	48.39
-0.00	0.00	-0.00	48.39
-0.00	0.00	-0.00	48.39
0.00	0.00	-0.00	48.39
0.00	0.00	-0.00	48.39
0.00	0.00	-0.00	48.39
0.00	0.00	-0.00	48.39
0.00	0.00	-0.00	48.39
0.00	0.00	-0.00	48.39
0.00	0.00	-0.00	48.84
0.00	0.00	-0.00	49.15
0.00	0.00	-0.00	49.37
0.00	0.00	0.00	49.51
0.00	0.00	0.00	49.60
0.00	0.00	-0.00	49.66
0.00	0.00	-0.00	49.71
0.00	0.00	-0.00	49.73
0.00	0.00	-0.00	49.75
0.00	0.00	-0.00	49.76
0.00	0.00	-0.00	49.77
0.00	0.00	-0.00	49.77
0.00	0.00	-0.00	49.78
0.00	0.00	-0.00	49.78
0.00	-0.00	-0.00	49.78
0.00	-0.00	-0.00	49.78
0.00	0.00	-0.00	49.78
0.00	0.00	-0.00	49.78
0.00	0.00	-0.00	49.78
0.00	0.00	-0.00	49.78
0.00	0.00	0.00	49.78
-0.00	-0.00	-0.00	49.78
-0.00	-0.00	-0.00	49.78
-0.00	-0.00	-0.00	49.78
-0.00	-0.00	-0.00	49.78
-0.00	-0.00	-0.00	49.78
-0.00	-0.00	-0.00	49.78
-0.00	0.00	0.00	49.78
0.00	0.00	0.00	49.78
0.00	0.00	0.00	49.78
0.00	0.00	0.00	49.78
0.00	0.00	0.00	49.78
0.00	0.00	0.00	50.75
0.00	0.00	0.00	51.38
0.00	0.00	0.00	51.79
-0.00	0.00	0.00	52.06
-0.00	0.00	0.00	52.23
0.00	0.00	0.00	52.34
0.00	0.00	0.00	52.42
0.00	0.00	0.00	52.46
0.00	0.00	0.00	52.49
0.00	0.00	0.00	52.51
0.00	0.00	0.00	52.53
-0.00	0.00	0.00	52.54
-0.00	0.00	0.00	52.54
-0.00	0.00	-0.00	52.55
-0.00	0.00	-0.00	52.55
-0.00	0.00	-0.00	52.55
-0.00	0.00	0.00	52.55
-0.00	0.00	0.00	52.55
-0.00	0.00	0.00	52.55
-0.00	0.00	0.00	52.55
-0.00	0.00	0.00	52.55
-0.00	0.00	0.00	52.55
-0.00	0.00	-0.00	52.55
-0.00	0.00	-0.00	52.55
-0.00	0.00	-0.00	52.55
-0.00	-0.00	-0.00	52.55
-0.00	-0.00	-0.00	52.55
-0.00	-0.00	-0.00	52.55
